seqid	taxid	species
10619	5476	candida albicans
10623	5476	candida albicans
10629	5476	candida albicans
1063	5476	candida albicans
10632	5476	candida albicans
10633	5476	candida albicans
10634	5476	candida albicans
10636	5476	candida albicans
1064	5476	candida albicans
10641	5476	candida albicans
10642	5476	candida albicans
10645	5476	candida albicans
10646	5476	candida albicans
10647	5476	candida albicans
10649	5476	candida albicans
1065	5476	candida albicans
10650	5476	candida albicans
10651	5476	candida albicans
10656	5476	candida albicans
10657	5476	candida albicans
10658	5476	candida albicans
10659	5476	candida albicans
10660	5476	candida albicans
10665	5476	candida albicans
10669	5476	candida albicans
10671	5476	candida albicans
10674	5476	candida albicans
10677	5476	candida albicans
10678	5476	candida albicans
10680	5476	candida albicans
10683	5476	candida albicans
10684	5476	candida albicans
10686	5476	candida albicans
10691	5476	candida albicans
10695	5476	candida albicans
10697	5476	candida albicans
10698	5476	candida albicans
10699	5476	candida albicans
10701	5476	candida albicans
10702	5476	candida albicans
10703	5476	candida albicans
10707	5476	candida albicans
10709	5476	candida albicans
1071	5476	candida albicans
10715	5476	candida albicans
1072	5476	candida albicans
10725	5476	candida albicans
10726	5476	candida albicans
10727	5476	candida albicans
10729	5476	candida albicans
10730	5476	candida albicans
10731	5476	candida albicans
10732	5476	candida albicans
10733	5476	candida albicans
10734	5476	candida albicans
10736	5476	candida albicans
1074	5476	candida albicans
10741	5476	candida albicans
10742	5476	candida albicans
10743	5476	candida albicans
10744	5476	candida albicans
10745	5476	candida albicans
10746	5476	candida albicans
10747	5476	candida albicans
10751	5476	candida albicans
10752	5476	candida albicans
10754	5476	candida albicans
10755	5476	candida albicans
10758	5476	candida albicans
10760	5476	candida albicans
10762	5476	candida albicans
10768	5476	candida albicans
10774	5476	candida albicans
10779	5476	candida albicans
1078	5476	candida albicans
10784	5476	candida albicans
10785	5476	candida albicans
10786	5476	candida albicans
10789	5476	candida albicans
1079	5476	candida albicans
10790	5476	candida albicans
10792	5476	candida albicans
10793	5476	candida albicans
10795	5476	candida albicans
10796	5476	candida albicans
10797	5476	candida albicans
10798	5476	candida albicans
1080	5476	candida albicans
10803	5476	candida albicans
10807	5476	candida albicans
10808	5476	candida albicans
10809	5476	candida albicans
10817	5476	candida albicans
10818	5476	candida albicans
10819	5476	candida albicans
1082	5476	candida albicans
10827	5476	candida albicans
10830	5476	candida albicans
10832	5476	candida albicans
10833	5476	candida albicans
10834	5476	candida albicans
10836	5476	candida albicans
10837	5476	candida albicans
10838	5476	candida albicans
1084	5476	candida albicans
10843	5476	candida albicans
10844	5476	candida albicans
10847	5476	candida albicans
10848	5476	candida albicans
10849	5476	candida albicans
1085	5476	candida albicans
10852	5476	candida albicans
10855	5476	candida albicans
10857	5476	candida albicans
1086	5476	candida albicans
10863	5476	candida albicans
10866	5476	candida albicans
10868	5476	candida albicans
1087	5476	candida albicans
10870	5476	candida albicans
10874	5476	candida albicans
10876	5476	candida albicans
10878	5476	candida albicans
1088	5476	candida albicans
10885	5476	candida albicans
10886	5476	candida albicans
10890	5476	candida albicans
10894	5476	candida albicans
10896	5476	candida albicans
10898	5476	candida albicans
109	5476	candida albicans
1090	5476	candida albicans
10902	5476	candida albicans
10906	5476	candida albicans
10907	5476	candida albicans
10908	5476	candida albicans
1091	5476	candida albicans
10915	5476	candida albicans
10917	5476	candida albicans
10918	5476	candida albicans
10919	5476	candida albicans
10923	5476	candida albicans
10924	5476	candida albicans
10925	5476	candida albicans
10926	5476	candida albicans
10928	5476	candida albicans
10931	5476	candida albicans
10935	5476	candida albicans
10938	5476	candida albicans
10939	5476	candida albicans
10942	5476	candida albicans
10944	5476	candida albicans
10947	5476	candida albicans
10948	5476	candida albicans
10949	5476	candida albicans
1095	5476	candida albicans
10950	5476	candida albicans
10956	5476	candida albicans
10959	5476	candida albicans
10961	5476	candida albicans
10962	5476	candida albicans
10963	5476	candida albicans
10965	5476	candida albicans
10967	5476	candida albicans
10969	5476	candida albicans
10970	5476	candida albicans
10971	5476	candida albicans
10974	5476	candida albicans
10977	5476	candida albicans
10980	5476	candida albicans
10984	5476	candida albicans
10988	5476	candida albicans
10989	5476	candida albicans
10991	5476	candida albicans
10992	5476	candida albicans
10997	5476	candida albicans
10999	5476	candida albicans
11	5476	candida albicans
11001	5476	candida albicans
11002	5476	candida albicans
11006	5476	candida albicans
11007	5476	candida albicans
1101	5476	candida albicans
11011	5476	candida albicans
11014	5476	candida albicans
11018	5476	candida albicans
11022	5476	candida albicans
11025	5476	candida albicans
11027	5476	candida albicans
11029	5476	candida albicans
11031	5476	candida albicans
11032	5476	candida albicans
11033	5476	candida albicans
11038	5476	candida albicans
11039	5476	candida albicans
1104	5476	candida albicans
11040	5476	candida albicans
11043	5476	candida albicans
11044	5476	candida albicans
11045	5476	candida albicans
11046	5476	candida albicans
11050	5476	candida albicans
11051	5476	candida albicans
11052	5476	candida albicans
11053	5476	candida albicans
11054	5476	candida albicans
11055	5476	candida albicans
11056	5476	candida albicans
11059	5476	candida albicans
1106	5476	candida albicans
11062	5476	candida albicans
11063	5476	candida albicans
11064	5476	candida albicans
11065	5476	candida albicans
11066	5476	candida albicans
11067	5476	candida albicans
11070	5476	candida albicans
11072	5476	candida albicans
11073	5476	candida albicans
11077	5476	candida albicans
11082	5476	candida albicans
11084	5476	candida albicans
11087	5476	candida albicans
11089	5476	candida albicans
1109	5476	candida albicans
11090	5476	candida albicans
11094	5476	candida albicans
11095	5476	candida albicans
11096	5476	candida albicans
11101	5476	candida albicans
11102	5476	candida albicans
11103	5476	candida albicans
11104	5476	candida albicans
11105	5476	candida albicans
11107	5476	candida albicans
11108	5476	candida albicans
11111	5476	candida albicans
11114	5476	candida albicans
11118	5476	candida albicans
11121	5476	candida albicans
