level_label	level_fraction	total_classified	assigned_species_pct	assigned_genus_pct	assigned_family_pct	assigned_higher_pct
000	0.0	1044	100.00	100.00	100.00	0.00
050	0.5	1044	100.00	100.00	100.00	0.00
100	1.0	1044	100.00	100.00	100.00	0.00
